time_boot_ms,ms5607_pressure_mbar,ms5607_temperature_c,bmi323_accel_x,bmi323_accel_y,bmi323_accel_z,bmi323_gyro_x,bmi323_gyro_y,bmi323_gyro_z,adxl375_accel_x,adxl375_accel_y,adxl375_accel_z,bm1422_magn_x,bm1422_magn_y,bm1422_magn_z,gps_lat,gps_lng,gps_alt,gps_speed,gps_course,gps_num_sats
14773088,982.210022,20.480000,-0.079853,-0.055311,1.015629,0.000000,0.000000,0.121951,0.000000,0.441000,2.058000,-43.931999,-31.542000,-92.147995,39.7285309,-83.7083282,320.000,44.000,7613,7
14773096,982.210022,20.480000,-0.079243,-0.053236,1.015873,-0.060976,0.000000,0.060976,0.049000,0.490000,2.058000,-43.931999,-31.542000,-92.147995,39.7285309,-83.7083282,320.000,44.000,7613,7
