Starting Clean Replay...
.......................................................................................................................................................................................................
Done! Processed 19999 data rows
Time,Alt,PosN,PosE,V_Up,V_N,V_E,Zenith,BrakePct
14780.5332,0.0115,-0.1049,-0.1578,0.1320,-0.0043,-0.0075,3.7491,0.0000
14780.5430,0.0339,-0.1049,-0.1579,0.1679,-0.0048,-0.0084,3.2817,0.0000
14780.5527,0.0356,-0.1049,-0.1579,0.1695,-0.0047,-0.0083,3.2325,0.0000
14780.5635,0.0373,-0.1050,-0.1579,0.1708,-0.0047,-0.0083,3.2042,0.0000
14780.5732,0.0390,-0.1050,-0.1580,0.1722,-0.0047,-0.0083,3.1832,0.0000
14780.5830,0.0821,-0.1051,-0.1581,0.2417,-0.0095,-0.0166,4.5218,0.0000
14780.5928,0.0845,-0.1052,-0.1583,0.2432,-0.0144,-0.0248,6.7261,0.0000
14780.6025,0.0870,-0.1053,-0.1586,0.2448,-0.0196,-0.0330,8.9148,0.0000
14780.6133,0.0894,-0.1056,-0.1590,0.2463,-0.0250,-0.0411,11.0625,0.0000
14780.6230,0.1005,-0.1058,-0.1594,0.2620,-0.0306,-0.0491,12.4557,0.0000
14780.6328,0.1031,-0.1062,-0.1600,0.2634,-0.0363,-0.0571,14.4088,0.0000
14780.6426,0.1058,-0.1066,-0.1606,0.2650,-0.0420,-0.0652,16.3176,0.0000
14780.6533,0.1084,-0.1070,-0.1613,0.2665,-0.0476,-0.0731,18.1280,0.0000
14780.6631,0.0803,-0.1075,-0.1620,0.2172,-0.0530,-0.0811,24.0384,0.0000
14780.6729,0.0825,-0.1081,-0.1629,0.2188,-0.0583,-0.0890,25.9304,0.0000
14780.6826,0.0847,-0.1087,-0.1638,0.2205,-0.0634,-0.0968,27.6952,0.0000
14780.6934,0.0869,-0.1093,-0.1648,0.2221,-0.0683,-0.1046,29.3580,0.0000
14780.7031,0.0978,-0.1100,-0.1659,0.2382,-0.0732,-0.1124,29.3950,0.0000
14780.7129,0.1002,-0.1108,-0.1671,0.2396,-0.0781,-0.1203,30.8984,0.0000
14780.7227,0.1026,-0.1116,-0.1683,0.2412,-0.0831,-0.1281,32.3404,0.0000
14780.7334,0.1050,-0.1125,-0.1696,0.2429,-0.0882,-0.1359,33.7075,0.0000
14780.7432,0.1015,-0.1134,-0.1710,0.2345,-0.0934,-0.1437,36.1623,0.0000
14780.7529,0.1038,-0.1143,-0.1725,0.2361,-0.0987,-0.1515,37.4408,0.0000
14780.7627,0.1062,-0.1154,-0.1741,0.2377,-0.1041,-0.1592,38.6644,0.0000
14780.7734,0.1086,-0.1164,-0.1757,0.2393,-0.1096,-0.1669,39.8354,0.0000
14780.7832,0.0929,-0.1175,-0.1774,0.2106,-0.1151,-0.1746,44.8045,0.0000
14780.7930,0.0950,-0.1187,-0.1792,0.2121,-0.1207,-0.1824,45.8783,0.0000
14780.8027,0.0971,-0.1200,-0.1810,0.2137,-0.1262,-0.1903,46.8993,0.0000
14780.8135,0.0993,-0.1212,-0.1830,0.2152,-0.1316,-0.1981,47.8630,0.0000
14780.8232,0.0614,-0.1213,-0.1830,0.1495,-0.0051,-0.0078,3.5814,0.0000
14780.8330,0.0629,-0.1213,-0.1831,0.1509,-0.0049,-0.0078,3.4773,0.0000
14780.8428,0.0644,-0.1213,-0.1831,0.1525,-0.0046,-0.0077,3.3867,0.0000
14780.8525,0.0659,-0.1213,-0.1831,0.1541,-0.0044,-0.0077,3.2940,0.0000
14780.8633,0.0556,-0.1214,-0.1832,0.1355,-0.0043,-0.0077,3.7237,0.0000
14780.8730,0.0569,-0.1214,-0.1832,0.1369,-0.0043,-0.0077,3.6937,0.0000
14780.8828,0.0583,-0.1214,-0.1833,0.1384,-0.0045,-0.0077,3.6879,0.0000
14780.8926,0.0597,-0.1214,-0.1833,0.1399,-0.0046,-0.0078,3.6907,0.0000
14780.9121,0.0624,-0.1215,-0.1834,0.1428,-0.0095,-0.0149,7.0616,0.0000
14780.9209,0.0637,-0.1215,-0.1835,0.1441,-0.0046,-0.0070,3.3268,0.0000
14780.9287,0.0648,-0.1216,-0.1835,0.1453,-0.0041,-0.0062,2.9281,0.0000
14780.9365,0.0660,-0.1216,-0.1835,0.1466,-0.0041,-0.0062,2.9126,0.0000
14780.9453,0.0146,-0.1216,-0.1835,0.0595,-0.0040,-0.0063,7.1569,0.0000
14780.9551,0.0152,-0.1216,-0.1836,0.0610,-0.0049,-0.0079,8.6474,0.0000
14780.9639,0.0158,-0.1216,-0.1836,0.0624,-0.0044,-0.0071,7.6223,0.0000
14780.9727,0.0163,-0.1217,-0.1836,0.0638,-0.0043,-0.0071,7.4637,0.0000
14780.9834,0.0495,-0.1217,-0.1837,0.1198,-0.0048,-0.0081,4.4868,0.0000
14780.9932,0.0507,-0.1217,-0.1837,0.1212,-0.0045,-0.0081,4.3868,0.0000
14781.0029,0.0519,-0.1217,-0.1838,0.1227,-0.0042,-0.0081,4.2416,0.0000
14781.0127,0.0531,-0.1217,-0.1838,0.1243,-0.0040,-0.0081,4.1464,0.0000
14781.0234,0.1058,-0.1218,-0.1839,0.2119,-0.0081,-0.0161,4.8532,0.0000
14781.0332,0.1079,-0.1219,-0.1841,0.2135,-0.0123,-0.0241,7.2185,0.0000
14781.0430,0.1101,-0.1220,-0.1844,0.2150,-0.0167,-0.0320,9.5393,0.0000
14781.0527,0.1122,-0.1222,-0.1848,0.2166,-0.0215,-0.0400,11.8470,0.0000
14781.0635,0.0951,-0.1223,-0.1848,0.1857,-0.0050,-0.0080,2.8897,0.0000
14781.0732,0.0969,-0.1223,-0.1848,0.1872,-0.0050,-0.0080,2.8929,0.0000
14781.0830,0.0988,-0.1223,-0.1849,0.1888,-0.0050,-0.0082,2.9011,0.0000
14781.0928,0.1007,-0.1223,-0.1849,0.1903,-0.0050,-0.0082,2.8905,0.0000
14781.1025,0.0610,-0.1224,-0.1850,0.1219,-0.0051,-0.0082,4.5191,0.0000
14781.1133,0.0622,-0.1224,-0.1850,0.1234,-0.0051,-0.0083,4.5155,0.0000
14781.1230,0.0634,-0.1224,-0.1851,0.1248,-0.0049,-0.0084,4.4413,0.0000
14781.1328,0.0647,-0.1224,-0.1851,0.1264,-0.0047,-0.0085,4.3749,0.0000
14781.1426,0.0657,-0.1225,-0.1851,0.1275,-0.0045,-0.0086,4.3435,0.0000
14781.1533,0.0670,-0.1225,-0.1852,0.1289,-0.0044,-0.0086,4.2962,0.0000
14781.1631,0.0683,-0.1225,-0.1852,0.1304,-0.0045,-0.0086,4.2702,0.0000
14781.1729,0.0696,-0.1225,-0.1853,0.1319,-0.0045,-0.0086,4.2179,0.0000
14781.1826,0.0820,-0.1226,-0.1853,0.1521,-0.0045,-0.0086,3.6458,0.0000
14781.1934,0.0835,-0.1226,-0.1854,0.1536,-0.0046,-0.0085,3.6051,0.0000
14781.2031,0.0851,-0.1226,-0.1854,0.1550,-0.0047,-0.0086,3.5977,0.0000
14781.2129,0.0866,-0.1226,-0.1854,0.1565,-0.0049,-0.0086,3.6204,0.0000
14781.2227,0.0733,-0.1226,-0.1855,0.1328,-0.0052,-0.0087,4.3683,0.0000
14781.2334,0.0746,-0.1227,-0.1855,0.1343,-0.0054,-0.0087,4.3785,0.0000
14781.2432,0.0760,-0.1227,-0.1856,0.1359,-0.0055,-0.0087,4.3289,0.0000
14781.2529,0.0774,-0.1227,-0.1856,0.1375,-0.0054,-0.0086,4.2229,0.0000
14781.2627,0.0886,-0.1228,-0.1857,0.1556,-0.0053,-0.0087,3.7513,0.0000
14781.2734,0.0902,-0.1228,-0.1857,0.1570,-0.0050,-0.0087,3.6793,0.0000
14781.2832,0.0918,-0.1228,-0.1857,0.1584,-0.0049,-0.0087,3.6220,0.0000
14781.2930,0.0934,-0.1228,-0.1858,0.1598,-0.0048,-0.0089,3.6096,0.0000
14781.3027,0.0908,-0.1229,-0.1858,0.1542,-0.0048,-0.0089,3.7502,0.0000
14781.3135,0.0923,-0.1229,-0.1859,0.1556,-0.0048,-0.0090,3.7419,0.0000
14781.3232,0.0939,-0.1229,-0.1859,0.1570,-0.0048,-0.0090,3.7172,0.0000
14781.3330,0.0955,-0.1229,-0.1860,0.1584,-0.0048,-0.0090,3.6777,0.0000
14781.3506,0.0702,-0.1230,-0.1861,0.1132,-0.0095,-0.0159,9.2859,0.0000
14781.3594,0.0711,-0.1230,-0.1861,0.1145,-0.0044,-0.0071,4.1467,0.0000
14781.3672,0.0721,-0.1230,-0.1862,0.1157,-0.0045,-0.0070,4.1135,0.0000
14781.3750,0.0730,-0.1231,-0.1862,0.1170,-0.0044,-0.0071,4.0812,0.0000
14781.3828,0.0739,-0.1231,-0.1862,0.1183,-0.0044,-0.0071,4.0365,0.0000
